,city_name,state_code
0,New York City,NY
1,Los Angeles,CA
2,Chicago,IL
3,Houston,TX
4,San Francisco,CA
5,Philadelphia,PA
6,Indianapolis,IN
7,Portland,OR
8,Milwaukee,WI
9,Honolulu,HI
10,Sacramento,CA
11,Dallas,TX
12,Phoenix,AZ
13,Austin,TX
14,San Diego,CA
15,Kansas City,MO
16,Long Beach,CA
17,Anaheim,CA
18,Memphis,TN
19,Denver,CO
20,Detroit,MI
21,Seattle,WA
22,Charlotte,NC
23,Tulsa,OK
24,Nashville,TN
25,Rochester,NY
26,Boston,MA
27,Newark,NJ
28,Baltimore,MD
29,Louisville,KY
30,Riverside,CA
31,St Louis,MO
32,St Paul,MN
33,Oklahoma City,OK
34,Toledo,OH
35,Tucson,AZ
36,Albuquerque,NM
37,Miami,FL
38,Jacksonville,FL
39,Fresno,CA
40,Corpus Christi,TX
41,Washington,DC
42,Minneapolis,MN
43,Cincinnati,OH
44,Lexington,KY
45,Cleveland,OH
46,San Jose,CA
47,Birmingham,AL
48,Mesa,AZ
49,Fort Worth,TX
50,El Paso,TX
51,Jersey City,NJ
52,Oakland,CA
53,San Antonio,TX
54,Las Vegas,NV
55,Norfolk,VA
56,Pittsburgh,PA
57,Santa Ana,CA
58,Columbus,OH
59,New Orleans,LA
60,Omaha,NB
61,Wichita,KS
62,Colorado Springs,CO
63,Dayton,OH
64,Tampa,FL
65,Atlanta,GA
66,Buffalo,NY
67,Arlington,TX
68,Virginia Beach,VA
